setID,id,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,package,promotion_last_5years,division,salary,satisfaction_level,pred_quick
train,13,0.54,2,149.23,3,0,4,0,sales,1,0.405,0.417287707328796
train,14,0.55,2,138.79,3,0,2,0,sales,1,0.361,0.421050429344177
train,17,0.99,4,255.02,6,0,4,0,sales,1,0.768,0.8187495470047
train,19,0.88,5,262.47,5,0,2,0,sales,1,0.761,0.772370278835297
train,21,0.55,2,148.92,3,0,2,0,sales,1,0.386,0.423764616250992
train,22,0.95,6,304.28,4,0,4,0,sales,1,0.087,0.084429919719696
train,25,0.92,5,243.46,5,0,4,0,sales,1,0.891,0.809370160102844
train,26,0.87,4,239.38,5,0,4,0,sales,1,0.83,0.747419714927673
train,31,0.58,2,132.95,3,0,2,0,hr,1,0.447,0.458455562591553
train,32,0.51,2,146.12,3,0,4,0,hr,1,0.397,0.410244107246399
train,33,0.55,2,141.31,3,0,2,0,hr,1,0.439,0.412677943706512
train,34,0.87,4,246.37,6,0,2,0,hr,1,0.838,0.753623962402344
train,38,0.9,6,305.56,4,0,4,0,technical,1,0.111,0.11727511882782
train,41,0.48,2,160.51,3,0,4,0,technical,1,0.456,0.402244210243225
train,42,0.45,2,127.29,3,0,2,0,technical,1,0.39,0.372277021408081
train,44,0.88,6,276.03,4,0,2,0,technical,1,0.091,0.166335552930832
train,46,0.56,2,149.04,3,0,2,0,support,1,0.401,0.420243948698044
train,50,0.78,6,153.51,2,0,4,0,support,1,0.117,0.439889132976532
train,53,0.54,2,133.27,3,0,4,0,support,1,0.399,0.413106083869934
train,55,0.47,2,140.69,3,0,4,0,support,1,0.373,0.408922255039215
train,57,0.81,6,308.09,4,0,4,0,technical,1,0.099,0.0939183235168457
train,58,0.55,2,128.23,3,0,2,0,technical,1,0.38,0.390210837125778
train,61,0.94,7,310.5,4,0,4,0,IT,2,0.12,0.0788571536540985
train,67,0.99,4,264.77,6,0,2,0,product_mng,2,0.896,0.807183384895325
train,69,0.5,2,136.07,3,0,4,0,product_mng,2,0.439,0.417888820171356
train,71,0.78,5,276.73,4,0,2,0,product_mng,2,0.094,0.35098797082901
train,72,0.49,2,148.72,3,0,2,0,product_mng,3,0.458,0.417238265275955
train,75,0.79,7,305.39,4,0,2,0,product_mng,2,0.106,0.107015430927277
train,80,0.54,2,140.53,3,0,4,0,support,1,0.454,0.413262486457825
train,81,0.49,2,152.23,3,0,4,0,technical,1,0.383,0.404452979564667
train,89,0.79,6,291.61,4,0,4,0,sales,1,0.114,0.109682112932205
train,93,0.55,2,130.46,3,0,2,0,sales,1,0.457,0.40398782491684
train,98,0.97,6,284.12,4,0,4,0,sales,1,0.111,0.0925374329090118
train,108,0.88,3,178.42,4,0,2,0,hr,2,0.719,0.683554589748383
train,113,0.96,4,258.74,5,0,2,0,technical,2,0.896,0.780403554439545
train,120,0.62,4,158.9,4,1,2,0,technical,1,0.135,0.62527072429657
train,122,1,4,216.91,6,0,2,0,technical,1,0.755,0.702030003070831
train,123,0.83,6,301.2,5,1,2,0,support,1,0.109,0.161109745502472
train,125,0.92,6,261.43,4,0,2,0,support,1,0.115,0.121680974960327
train,126,0.49,2,132.75,3,0,2,0,support,1,0.381,0.422845840454102
train,131,0.57,2,141.52,3,0,2,0,support,1,0.381,0.410467565059662
train,134,0.49,2,132.06,3,0,2,0,technical,1,0.359,0.396579593420029
train,137,0.48,2,129.36,3,0,2,0,management,1,0.422,0.404342472553253
train,138,1,4,250.84,5,0,2,0,IT,1,0.739,0.810633599758148
train,145,0.46,2,151.32,3,0,2,0,product_mng,1,0.416,0.384391963481903
train,146,0.92,4,238.28,5,0,2,0,product_mng,1,0.759,0.765437424182892
train,147,0.87,6,306.9,4,0,2,0,IT,1,0.117,0.0773423612117767
train,150,0.92,6,278.19,4,0,2,0,marketing,1,0.111,0.0832928717136383
train,152,0.51,2,144.29,3,0,2,0,marketing,1,0.367,0.41882985830307
train,155,0.79,6,304.1,4,0,2,0,accounting,1,0.11,0.0970558822154999
train,156,1,5,240.5,5,0,2,0,support,1,0.837,0.839952707290649
train,170,1,4,259.15,5,0,2,0,sales,1,0.806,0.819218516349793
train,171,0.45,2,162.58,3,0,4,1,sales,1,0.416,0.418097734451294
train,179,0.85,6,309.77,5,0,4,0,sales,2,0.111,0.169879496097565
train,180,0.48,2,144.77,3,0,2,0,sales,2,0.404,0.42107105255127
train,187,0.47,2,142.48,3,0,4,0,hr,2,0.395,0.40065211057663
train,188,0.55,2,153.95,3,0,4,0,technical,2,0.365,0.413244783878326
train,190,0.81,7,282.81,5,0,4,0,technical,1,0.097,0.14638489484787
train,195,0.81,6,304.77,4,0,4,0,technical,1,0.096,0.0939183235168457
train,199,0.93,5,227.62,6,0,2,0,support,1,0.764,0.772165417671204
train,201,0.5,2,136.32,3,0,2,0,support,1,0.389,0.425773978233337
train,203,0.93,6,255.47,4,0,4,0,support,1,0.099,0.104793280363083
train,206,1,5,229.85,5,0,4,0,support,1,0.77,0.815105438232422
train,207,0.87,4,230.15,5,0,2,0,support,1,0.783,0.73652458190918
train,209,0.52,2,153.03,3,0,2,0,support,1,0.381,0.418372213840485
train,211,0.51,4,295.66,3,0,2,0,technical,1,0.395,0.574860870838165
train,212,1,5,220.02,5,0,2,0,technical,1,0.876,0.838489294052124
train,214,0.53,2,153.04,3,0,4,0,IT,1,0.404,0.412774950265884
train,215,0.51,2,155.65,3,0,2,0,IT,1,0.359,0.419976383447647
train,216,0.47,2,159.87,3,0,4,0,IT,1,0.355,0.408002108335495
train,223,0.9,5,253.7,5,0,2,0,IT,1,0.873,0.768515467643738
train,233,0.56,2,135.58,3,0,2,0,support,1,0.416,0.43129774928093
train,234,0.57,4,270.1,4,0,2,0,technical,1,0.478,0.593446969985962
train,241,0.47,2,155.66,3,0,2,0,sales,1,0.372,0.419184625148773
train,244,0.85,5,274.94,5,0,4,0,sales,1,0.886,0.670725405216217
train,247,0.49,2,147.3,3,0,4,0,sales,1,0.463,0.421335875988007
train,248,0.92,4,228.55,5,0,4,0,sales,1,0.865,0.757798790931702
train,252,0.59,7,193.3,3,0,4,0,sales,1,0.194,0.441157519817352
train,253,0.98,4,248.81,5,0,4,0,sales,1,0.873,0.802858829498291
train,255,0.45,2,156.83,3,0,4,0,sales,2,0.433,0.39522847533226
train,257,0.55,2,155.52,3,0,4,0,sales,2,0.422,0.431648790836334
train,260,0.46,2,155.78,3,0,2,0,accounting,2,0.458,0.384348541498184
train,266,0.96,6,287.67,4,0,2,0,technical,2,0.11,0.116782933473587
