setID,id,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,package,promotion_last_5years,division,salary,satisfaction_level,pred_quick
train,7003,0.54,3,200.65,3,0,1,0,support,1,0.96,0.70154070854187
train,9369,0.52,4,142.98,3,1,3,0,technical,1,0.769,0.680404245853424
train,935,0.49,2,133.3,3,0,2,0,sales,2,0.444,0.423802584409714
train,8045,0.83,4,178.88,3,0,1,0,hr,1,0.64,0.730719685554504
train,8629,0.9,5,174.21,2,0,5,0,support,1,0.197,0.677768886089325
train,7819,0.96,4,209.14,3,0,5,0,technical,2,0.674,0.677299320697784
train,7792,0.67,4,199.61,3,0,5,0,marketing,2,0.832,0.743760347366333
train,12025,0.91,5,241.98,5,0,2,0,sales,1,0.885,0.781074285507202
train,14455,0.86,5,275.42,5,0,4,0,sales,1,0.887,0.672397375106812
train,4647,0.38,3,136.64,3,0,3,0,product_mng,2,0.477,0.544736325740814
train,13612,0.78,5,258.47,3,0,3,1,support,2,0.976,0.654470503330231
train,2114,0.5,5,227.63,2,0,3,0,support,1,0.352,0.728971540927887
train,6036,0.47,3,159.4,4,0,5,0,marketing,1,0.961,0.594169855117798
train,2278,0.99,3,152.07,3,1,3,0,product_mng,1,0.783,0.713544070720673
train,79,0.56,2,143.67,3,0,2,0,accounting,1,0.391,0.402981609106064
train,13963,0.57,3,208.67,3,0,1,0,product_mng,2,0.784,0.708403766155243
train,1404,0.93,5,270.65,5,0,4,0,accounting,1,0.787,0.749622702598572
train,14843,0.89,6,261.11,5,0,4,0,sales,1,0.113,0.285470873117447
train,6381,0.63,5,196.65,3,0,1,0,support,1,0.89,0.696309149265289
train,4726,0.54,4,213.74,3,0,5,0,IT,1,0.523,0.739016652107239
train,8904,0.5,2,251.23,5,0,3,0,support,1,0.93,0.582825481891632
train,7923,0.86,5,153.23,6,0,1,0,IT,2,0.985,0.62993049621582
train,6876,0.84,4,145.36,2,1,1,0,marketing,2,0.796,0.729836463928223
train,6211,0.71,4,221.09,3,0,1,0,accounting,2,0.573,0.732805371284485
train,6,0.77,6,249.38,4,0,4,0,sales,1,0.104,0.206628262996674
train,4877,0.69,4,154.26,3,0,5,0,product_mng,1,0.643,0.712738633155823
train,6579,0.63,4,208.69,3,0,1,0,sales,1,0.715,0.720913648605347
